articleNo,articleName,tradeTypeName,dealOrWarrantPrc,rentPrc,floorInfo,areaName,area1,area2,direction,articleConfirmYmd,buildingName,realtorName,latitude,longitude
2506703046,헬리오시티,전세,"11억 5,000",,23/24,107A,107,84,남향,20250208,414동,한강헬리오(02-420-3883)공인중개사사무소,37.496911,127.110224
2506698840,헬리오시티,전세,"14억 5,000",,15/35,141B,141,110,남향,20250207,312동,동남헬리오부동산중개법인주식회사,37.497184,127.103886
2506687381,헬리오시티,월세,"10억 5,000",160,6/35,140A,140,110,남향,20250207,104동,동남(헬리오)부동산중개법인,37.496772,127.102871
2506686774,헬리오시티,매매,"28억 5,000",,11/35,140A,140,110,남향,20250207,110동,동남(헬리오)부동산중개법인,37.495128,127.103686
2506687631,헬리오시티,매매,29억,,33/35,140A,140,110,남향,20250207,110동,으뜸헬리오시티공인중개사사무소,37.495128,127.103686
2506687019,헬리오시티,전세,"13억 8,000",,5/35,141B,141,110,남향,20250207,104동,동남(헬리오)부동산중개법인,37.496772,127.102871
2506689728,헬리오시티,매매,"27억 5,000",,6/35,140A,140,110,남향,20250207,104동,동남(헬리오)부동산중개법인,37.496772,127.102871
2506697673,헬리오시티,전세,12억,,25/29,110D,110,84,남향,20250207,515동,송파사랑공인중개사사무소,37.498189,127.108219
2506689541,헬리오시티,월세,4억,420,30/35,140A,140,110,남향,20250207,104동,동남(헬리오)부동산중개법인,37.496772,127.102871
2506693629,헬리오시티,매매,"24억 5,000",,27/33,110D,110,84,남향,20250207,112동,송파로얄공인중개사사무소,37.495001,127.104305
2506698824,헬리오시티,전세,12억,,28/29,108G,108,84,남향,20250207,514동,동남헬리오부동산중개법인주식회사,37.498588,127.108461
2506689205,헬리오시티,매매,"27억 5,000",,6/35,141B,141,110,남향,20250207,110동,으뜸헬리오시티공인중개사사무소,37.495128,127.103686
2506687181,헬리오시티,매매,"27억 5,000",,5/35,141B,141,110,남향,20250207,104동,동남(헬리오)부동산중개법인,37.496772,127.102871
2506688474,헬리오시티,매매,21억,,10/19,84A,84,59,남서향,20250207,509동,가락1번가부동산공인중개사사무소,37.499411,127.10937
2506698760,헬리오시티,매매,29억,,13/29,140A,140,110,남서향,20250207,513동,동남헬리오부동산중개법인주식회사,37.498921,127.109637
2506698749,헬리오시티,매매,"23억 5,000",,21/35,109E,109,84,남향,20250207,218동,동남헬리오부동산중개법인주식회사,37.495503,127.104987
2506686507,헬리오시티,매매,25억,,19/29,110F,110,84,남향,20250207,401동,동남(헬리오)부동산중개법인,37.49776,127.109189
2506693578,헬리오시티,매매,"24억 2,000",,7/33,109E,109,84,남향,20250207,112동,송파로얄공인중개사사무소,37.495001,127.104305
2506689941,헬리오시티,전세,14억,,6/35,140A,140,110,남향,20250207,104동,동남(헬리오)부동산중개법인,37.496772,127.102871
2506698810,헬리오시티,매매,23억,,27/28,107A,107,84,남향,20250207,206동,동남헬리오부동산중개법인주식회사,37.496598,127.106279
2506686221,헬리오시티,매매,"16억 5,000",,6/20,72B,72,49,남서향,20250207,408동,일등공인중개사사무소,37.497114,127.109229
2506670454,헬리오시티,매매,"28억 5,000",,11/35,140A,140,110,남향,20250207,110동,송파로얄공인중개사사무소,37.495128,127.103686
2506674945,헬리오시티,매매,28억,,5/35,140A,140,110,남향,20250207,312동,일등공인중개사사무소,37.497184,127.103886
2506686111,헬리오시티,월세,2억,380,19/29,110F,110,84,남향,20250207,401동,동남(헬리오)부동산중개법인,37.49776,127.109189
2506662443,헬리오시티,매매,"20억 8,000",,14/22,84A,84,59,남서향,20250207,307동,송파로얄공인중개사사무소,37.498367,127.106
2506661931,헬리오시티,매매,"23억 3,000",,8/33,110F,110,84,남향,20250207,112동,송파사랑공인중개사사무소,37.495001,127.104305
2506670427,헬리오시티,매매,"20억 2,000",,7/20,84A,84,59,남서향,20250207,409동,(가락)학사공인중개사사무소,37.497298,127.109806
2506675526,헬리오시티,전세,14억,,5/35,141B,141,110,남향,20250207,104동,송파로얄공인중개사사무소,37.496772,127.102871
2506663139,헬리오시티,매매,"24억 2,000",,7/33,109E,109,84,남동향,20250207,112동,송파사랑공인중개사사무소,37.495001,127.104305
2506670390,헬리오시티,월세,10억,200,15/35,141B,141,110,남향,20250207,312동,송파로얄공인중개사사무소,37.497184,127.103886
2506666629,헬리오시티,매매,22억,,1/29,110D,110,84,남향,20250207,411동,명품헬리오시티공인중개사사무소,37.497995,127.111796
2506671154,헬리오시티,전세,11억,,6/35,107A,107,84,남향,20250207,207동,천운공인중개사사무소,37.496146,127.105023
2506658733,헬리오시티,매매,24억,,27/33,110D,110,84,남향,20250207,112동,아침(415-7111)공인중개사사무소,37.495001,127.104305
2506684064,헬리오시티,전세,"13억 8,000",,5/35,141B,141,110,남서향,20250207,104동,으뜸헬리오시티공인중개사사무소,37.496772,127.102871
2506661601,헬리오시티,월세,10억,170,15/35,141B,141,110,남향,20250207,312동,집보아공인중개사,37.497184,127.103886
2506685334,헬리오시티,매매,"20억 5,000",,7/23,84A,84,59,남향,20250207,503동,가락1번가부동산공인중개사사무소,37.499674,127.109425
2506684063,헬리오시티,전세,"6억 9,000",,15/25,61B,61,39,남서향,20250207,210동,일등공인중개사사무소,37.496227,127.106342
